,SME_offers,SME,Social_clause,G_clause,G_criterion,G_weight,Price_weight,Award_price,Legal_status,Departement,Procedure_type,CPV,Framework,Advertising,Id_contract,Allotment,Month,Contract_type,SME_ratio,Other_offers,SIREN,Participation
1009808,2.0,1,0,1,0,0.0,50.0,11.51815178394181,73,22,open,42113120,0,34.0,22-109501,1,2022_August,Supplies,0.6666666666666666,1.0,252203161,1
677164,2.0,0,0,1,0,0.0,30.0,9.17678358844734,73,45,open,79956000,1,29.0,22-109520,1,2022_August,Services,0.6666666666666666,1.0,130027980,1
770048,0.0,0,0,0,0,0.0,60.0,10.043901456251342,72,14,open,66515000,0,30.0,22-10955,1,2022_January,Services,0.0,3.0,211405147,0
770049,0.0,0,0,0,0,0.0,60.0,9.738553945343401,72,14,open,66516400,0,30.0,22-10955,1,2022_January,Services,0.0,3.0,211405147,0
770050,0.0,0,0,0,0,0.0,60.0,11.437220834219913,72,14,open,66514110,0,30.0,22-10955,1,2022_January,Services,0.0,2.0,211405147,0
770051,0.0,0,0,0,0,0.0,55.0,12.316589345194512,72,14,open,66512000,0,30.0,22-10955,1,2022_January,Services,0.0,2.0,211405147,0
770052,0.0,0,0,0,0,0.0,60.0,6.620073206530356,72,14,open,66515200,0,30.0,22-10955,1,2022_January,Services,0.0,1.0,211405147,0
770053,0.0,0,0,0,0,0.0,60.0,9.889388628156626,72,14,open,66513100,0,30.0,22-10955,1,2022_January,Services,0.0,2.0,211405147,0
770054,0.0,0,0,0,0,0.0,60.0,8.53660358493606,72,14,open,66515000,0,30.0,22-10955,1,2022_January,Services,0.0,3.0,211405147,0
75402,1.0,0,1,1,1,10.0,40.0,14.28551418721001,73,62,open,71300000,1,41.0,22-109581,1,2022_August,Services,0.14285714285714285,6.0,130017791,1
75406,1.0,0,1,1,1,10.0,40.0,13.997832114758229,73,62,open,71300000,1,41.0,22-109581,1,2022_August,Services,0.16666666666666666,5.0,130017791,1
75409,1.0,0,1,1,1,10.0,40.0,14.22097566607244,73,62,open,71300000,1,41.0,22-109581,1,2022_August,Services,0.16666666666666666,5.0,130017791,1
75412,1.0,0,1,1,1,10.0,40.0,13.710150042306449,73,62,open,71300000,1,41.0,22-109581,1,2022_August,Services,0.2,4.0,130017791,1
75419,1.0,0,1,1,1,10.0,40.0,13.9108207377686,73,62,open,71300000,1,41.0,22-109581,1,2022_August,Services,0.16666666666666666,5.0,130017791,1
90765,2.0,1,0,0,0,0.0,55.0,14.508657738524219,73,75,open,45311000,0,31.0,22-109615,0,2022_August,Works,0.6666666666666666,1.0,267500007,1
22022,1.0,0,0,0,0,0.0,40.0,11.982929094215963,73,75,open,79800000,0,32.0,22-109628,1,2022_August,Services,0.5,1.0,267500007,1
22023,0.0,0,0,0,0,0.0,35.0,12.676076274775909,73,75,open,79800000,0,32.0,22-109628,1,2022_August,Services,0.0,2.0,267500007,0
22024,2.0,1,0,0,0,0.0,40.0,10.778956289890028,73,75,open,79800000,0,32.0,22-109628,1,2022_August,Services,0.6666666666666666,1.0,267500007,1
950777,1.0,1,1,1,1,10.0,70.0,15.30089589720009,72,25,open,45112710,0,33.0,22-109896,0,2022_August,Works,0.25,3.0,212500565,1
83143,6.0,1,0,0,1,10.0,30.0,13.081541382884074,72,92,open,39700000,0,33.0,22-110016,1,2022_August,Supplies,0.75,2.0,219200409,1
83144,1.0,1,0,0,1,10.0,30.0,13.304684934198283,72,92,open,39700000,0,33.0,22-110016,1,2022_August,Supplies,0.5,1.0,219200409,1
929166,0.0,0,0,0,0,0.0,60.0,12.483704382128453,73,50,open,35111000,1,30.0,22-110246,1,2022_August,Supplies,0.0,2.0,200067205,0
929168,0.0,0,0,0,0,0.0,60.0,13.081541382884074,73,50,open,50750000,1,30.0,22-110246,1,2022_August,Services,0.0,4.0,200067205,0
929169,1.0,0,0,0,0,0.0,60.0,13.081541382884074,73,50,open,45259000,1,30.0,22-110246,1,2022_August,Works,0.3333333333333333,2.0,200067205,1
151330,1.0,0,0,0,0,0.0,60.0,16.11809565095832,72,59,open,45233141,0,42.0,22-110338,1,2022_August,Works,0.5,1.0,215901729,1
151331,2.0,1,0,0,0,0.0,60.0,12.89921982609012,72,59,open,45233141,0,42.0,22-110338,1,2022_August,Works,0.6666666666666666,1.0,215901729,1
414802,3.0,0,0,1,1,10.0,45.0,11.695247021764184,72,76,open,15930000,1,30.0,22-110486,1,2022_August,Supplies,0.75,1.0,227605409,1
523321,0.0,1,0,0,0,0.0,35.0,13.581393264790455,57,06,open,45316000,0,32.0,22-110494,0,2022_August,Works,0.0,1.0,824575187,0
589294,0.0,0,0,0,0,0.0,100.0,14.688789399245138,73,38,open,09134000,0,32.0,22-110552,0,2022_August,Supplies,0.0,2.0,283812006,0
1033902,0.0,0,0,0,0,0.0,40.0,8.987196820661973,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.0,3.0,211003512,0
1033914,0.0,0,0,0,0,0.0,40.0,10.373491181781864,72,10,open,50324200,1,35.0,22-110586,1,2022_August,Services,0.0,2.0,211003512,0
1033903,0.0,0,0,0,0,0.0,40.0,10.085809109330082,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.0,4.0,211003512,0
1033904,0.0,0,0,0,0,0.0,40.0,9.680344001221918,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.0,4.0,211003512,0
1033905,0.0,0,0,0,0,0.0,40.0,10.596634733096073,72,10,open,71631000,1,35.0,22-110586,1,2022_August,Services,0.0,4.0,211003512,0
